Code;Description
{3 times}/d;3 times / day
{4 times}/d;4 times / day
{5 times}/d;5 times / day
{absorbance};absorbance
{Absorbance'U};Absorbance'U
{Absorbance'U}/mL;Absorbance'U / milliliter
{activity};activity
{ActivityCoefficient};ActivityCoefficient
{AHF'U};AHF'U
{AntibodyResponse'U};AntibodyResponse'U
{Applicator};Applicator
{APS'U};IgA antiphosphatidylserine unit
{AspirinReaction'U};AspirinReaction'U
{Bead};Bead
{Beats}/min;Beats / minute
{Bottle};Bottle
{Bowls}/d;Bowls / day
{Breaths}/min;Breaths / minute
{CAE'U};complement activity enzyme unit
{CagRepeat};CagRepeat
{Can};Can
{Cans}/wk;Cans / week
{Capsule};Capsule
{Cell};Cell
{cells};cells
{cells}/[HPF];cells per high power field
{Cells}/mL;Cells / milliliter
{cells}/uL;cells per microliter
{CfTiter};CfTiter
{cfu};cfu
{cfu}/mL;cfu / milliliter
{CGG_repeats};CGG_repeats
{CGG};CGG
{CH100'U};complement CH100 unit
{clock time};clock time
{clock_time};clock_time
{ComplementActivityEnzyme'U};ComplementActivityEnzyme'U
{ComplementCH100'U};ComplementCH100'U
{ComplementCH50'U};ComplementCH50'U
{copies}/mL;copies per milliliter
{copies}/ug;copies per microgram
{Copies}/uL;Copies / microliter
{Count};Count
{Counts}/min;Counts / minute
{Dalton};Dalton
{DdTiter};DdTiter
{DeltaOpticalDensity};DeltaOpticalDensity
{Dilution};dilution
{Disintegrations}/min;Disintegrations / minute
{Dose};Dose
{Drinks}/d;Drinks / day
{Each};Each
{Ehrlich'U};Ehrlich unit
{Ehrlich'U}/(2.h);Ehrlich unit per 2 hour
{Ehrlich'U}/100.g;Ehrlich unit per 100 gram
{Ehrlich'U}/d;Ehrlich unit per day
{Ehrlich'U}/dL;Ehrilich unit per deciliter
{Ehrlich'U}/mL;Ehrlich'U / milliliter
{EIAIndex};EIA index
{EIATiter};EIA titer
{EIA'U};EIA unit
{EIA'U}/U;EIA unit per enzyme Unit
{ElisaIndex};ElisaIndex
{ELISA'U};ELISA unit
{Elisa'U}/mL;Elisa'U / milliliter
{ElisaValue};ElisaValue
{ERY}/uL;erythrocyte per microliter
{Events};Events
{FluorescenceIntensity'U};FluorescenceIntensity'U
U{G};G unit
{GliadinIndexValue};GliadinIndexValue
{G-PortionPhospholipids};G-PortionPhospholipids
{HaTiter};HaTiter
{IfaIndex};IfaIndex
{IfaTiter};IfaTiter
{IgAAntiphosphatidyleserine'U};IgAAntiphosphatidyleserine'U
{IgAPhospholipid'U};IgAPhospholipid'U
{IgGAntiphosphatidyleserine'U};IgGAntiphosphatidyleserine'U
{IgGIndex};IgGIndex
{IgMAntiphosphatidyleserine'U};IgMAntiphosphatidyleserine'U
{IgMIndex};IgMIndex
{ImmuneComplex'U};immune complex unit
{ImmuneStatusRatio};ImmuneStatusRatio
{Immunity};Immunity
{Index_val};Index_val
{index};index
{IndexValue};IndexValue
{InhaledTobaccoUseAmountYears};InhaledTobaccoUseAmountYears
{InhaledTobaccoUsePacks}/d;InhaledTobaccoUsePacks / day
{INR};international normalized ratio
{INR'unit};INR'unit
{JDF'U};Juvenile Diabetes Foundation unit
{JDF'U}/L;Juvenile Diabetes Foundation unit per liter
{JuvenileDiabetesFound'U};JuvenileDiabetesFound'U
{KCT'U};kaolin clotting time
{KRONU'U}/L;Kronus unit per liter
{KRONU'U}/mL;Kronus unit per milliliter
{lgCopies}/ml;lgCopies / milliliter
{log_copies}/mL;log (base 10) copies per milliliter
{log_IU}/mL;log (base 10) international unit per milliliter
{LymeIndexValue};LymeIndexValue
{M.o.M.};M.o.M.
{M.o.M};multiple of the median
{Markers};Markers
{minidrp};minidrp
{Molecule}/{Platelet};Molecule / Platelet
{M-PortionPhospholipids};M-PortionPhospholipids
{MPS'U};IgM antiphosphatidylserine unit
{MPS'U}/mL;IgM antiphosphatidylserine unit per milliliter
{MultOfMean};MultOfMean
{NonspecificOunce};NonspecificOunce
{Number};Number
{OD_unit};optical density unit
{Once}/d;Once / day
{OpticalDensity};OpticalDensity
{OpticalDensityIndex};OpticalDensityIndex
{OpticalDensityRatio};OpticalDensityRatio
{P2Y12 Reaction Units};P2Y12 Reaction Units
{Package};Package
{Packs}/d;Packs / day
{PackYears};PackYears
{Patch};Patch
{Percentile};Percentile
{Pill};Pill
{Pouches}/wk;Pouches / week
{RadioactiveT3UptakeRatio};RadioactiveT3UptakeRatio
{ratio};ratio
{RBC}/uL;red blood cell per microliter
{RecTiter};RecTiter
{Relative'U};Relative'U
{RelativeViscosity};RelativeViscosity
{RPI'U};RPI'U
{RubellaVirus};RubellaVirus
{SatIndex};SatIndex
{Scoop};Scoop
{ScoreOf};ScoreOf
{shift};shift
{spermatozoa}/mL;spermatozoa per milliliter
{spray};spray
{StandardDeviation};StandardDeviation
{StandardIgA'U};StandardIgA'U
{StandardIgG'U};StandardIgG'U
{StandardIgM'U};StandardIgM'U
{StdDeviation'U};StdDeviation'U
{StimulatingIndex};StimulatingIndex
{Streptozyme'U};Streptozyme'U
{ThyroxinUptake'U};ThyroxinUptake'U
{TIBC'U};TIBC'U
{Times}/wk;Times / week
{Tine'U};Tine'U
{titer};titer
{ToxoplasmaIndexValue};ToxoplasmaIndexValue
{Vial};Vial
{Volume}/{Vvolume};Volume / Vvolume
{WeeksDays};WeeksDays
{WhiteBloodCell};WhiteBloodCell
1/d;one per day
1/min;one per minute
10*12/L;trillion per liter
10*3;Thousand
10*3.{RBC};Thousand Red Blood Cells
10*3.U;Thousand Per * Unit
10*3/L;Thousand Per Liter
10*3/mL;Thousand Per MilliLiter
10*3/uL;Thousands Per MicroLiter
10*3{Copies}/mL;Thousand Copies Per MilliLiter
10*-3{Polarization'U};(the number ten for arbitrary powers ^ -3) Polarization'U
10*5;OneHundredThousand
10*6;Million
10*6.[iU];MillionInternationalUnit
10*6.eq/mL;MillionEquivalentsPerMilliLiter
10*6.U;(the number ten for arbitrary powers ^ 6) * Unit
10*6/{Specimen};MillionPerSpecimen
10*6/kg;million per kilogram
10*6/L;million per liter
10*6/mL;million per milliliter
10*6/mm3;(the number ten for arbitrary powers ^ 6) / (millimeter ^ 3)
10*6/uL;million per microliter
10*-6{Immunofluorescence'U};(the number ten for arbitrary powers ^ -6) Immunofluorescence'U
10*8;TenToEighth
10*9/L;billion per liter
10*9/mL;billion per milliliter
10*9/uL;billion per microliter
10.L/(min.m2);10 liter per minute per square meter
10.L/min;10 liter per minute
10.uN.s/(cm.m2);10 * microNewton * second / centimeter * (meter ^ 2)
10.uN.s/cm;10 * microNewton * second / centimeter
10.uN.s/cm2;10 * microNewton * second / (centimeter ^ 2)
a;year
A/m;Ampère / meter
att;technical atmosphere
bar;bar
Cel;degree Celsius
cg;centigram
cL;centiliter
cm;centimeter
cm[H2O];centimeter of water
cm[H2O]/(s.m);centimeter of water column / second * meter
cm[H2O]/L/s;centimeter of water per liter per second
cm[Hg];centimeter of mercury
cm2;square centimeter
cm2/s;square centimeter per second
cm3;cubic centimeter
cP;centiPoise
cSt;centiStokes
d;day
dB;decibel
deg;degree
deg/s;degree per second
dg;decigram
dL;deciliter
dm;decimeter
dm2/s2;square decimeter per square second
eq;equivalents
eq/L;equivalents / liter
eq/mL;equivalents / milliliter
eq/mmol;equivalents / millimole
eq/umol;equivalents / micromole
erg;erg
eV;electronvolt
fg;femtogram
fL;femtoliter
fL/nL;femtoliter / nanoliter
fm;femtometer
fmol;femtomole
fmol/g;femtomole per gram
fmol/L;femtomole per liter
fmol/mg;femtomole / milligram
fmol/mL;femtomole / milliliter
g;gram
g.m;gram * meter
g.m/({hb}.m2);gram * meter / hb * (meter ^ 2)
g.m/{hb};gram * meter / hb
g/(100.g);gram per 100 gram
g/(12.h);gram per 12 hour
g/(24.h);gram per 24 hour
g/(3.d);gram per 3 days
g/(4.h);gram per 4 hour
g/(48.h);gram per 48 hour
g/(5.h);gram per 5 hour
g/(6.h);gram per 6 hour
g/(72.h);gram per 72 hour
g/(8.h);gram / 8 * hour
g/(8.kg.h);gram / 8 * kilogram * hour
g/(kg.h);gram / kilogram * hour
g/(kg.min);gram / kilogram * minute
g/{TotalWeight};gram / TotalWeight
g/d;gram per day
g/dL;gram per deciliter
g/g;gram per gram
g/g{Cre};gram / gram Cre
g/g{creat};gram / gram creat
g/g{tissue};gram per gram of tissue
g/h;gram per hour
g/h/m2;gram per hour per square meter
g/kg;gram per kilogram
g/kg/d;gram per kilogram per day
g/L;gram per liter
g/m2;grams Per Square Meter
g/mg;gram per milligram
g/min;gram per minute
g/mL;gram per milliliter
g/mmol;gram per millimole
g/mmol{creat};gram / millimole creat
g/mol;gram per mole
GBq;gigaBecquerel
h;hour
hL;hectoliter
Hz;Hertz
J;joule
J/L;joule per liter
K;Kelvin
K/W;Kelvin / Watt
k[IU]/L;kilo international unit per liter
k[IU]/mL;kilo international unit per milliliter
kat/kg;katal / kilogram
kat/L;katal / liter
kBq;kiloBecquerel
kcal;kilocalorie
kcal/(8.h);kilocalorie / 8 * hour
kcal/h;kilocalorie per hour
kg;kilogram
kg.m/s;kilogram meter per second
kg/(s.m2);kilogram per second per square meter
kg/h;kilogram per hour
kg/L;kilogram per liter
kg/m2;kilogram / (meter ^ 2)
kg/m3;kilogram / (meter ^ 3)
kg/min;kilogram / minute
kg/mol;kilogram per mole
kg/s;kilogram / second
kL;kiloliter
km;kilometer
kPa;kiloPascal
ks;kilosecond
kU/g;kiloenzyme Unit per gram
kU/h;kiloUnit / hour
kU/L;kiloenzyme Unit per liter
kU/mL;kilo enzyme unit per milliliter
L;liter
L.s2/s;liter * (second ^ 2) / second
L/(8.h);liter per 8 hour
L/(min.m2);liter per minute per square meter
L/d;liter per day
L/h;liter per hour
L/kg;liter per kilogram
L/L;liter per liter
L/min;liter per minute
L/s;liter / second
lm/m2;lumen / (meter ^ 2)
m;meter
m/s;meter per second
m/s2;meter per square second
m[iU];milliinternational unit
m[IU]/L;milli international unit per liter
m[IU]/mL;milli international unit per milliliter
m2;square meter
m2/s;square meter per second
m3/s;cubic meter per second
mA;milliAmpère
mbar;millibar
mbar.s/L;millibar second per liter
MBq;megaBecquerel
mCi;milliCurie
meq;milliequivalent
meq/(12.h);milliequivalent per 12 hour
meq/(2.h);milliequivalent per 2 hour
meq/(24.h);milliequivalent per 24 hour
meq/(8.h);milliequivalent per 8 hour
meq/(8.h.kg);milliequivalents / 8 * hour * kilogram
meq/(kg.d);milliequivalents / kilogram * day
meq/{Specimen};milliequivalents / Specimen
meq/d;milliequivalent per day
meq/dL;milliequivalent per deciliter
meq/g;milliequivalent per gram
meq/g{Cre};milliequivalents / gram Cre
meq/h;milliequivalent per hour
meq/kg;milliequivalent per kilogram
meq/kg/h;milliequivalent per kilogram per hour
meq/kg/min;milliequivalents / kilogram / minute
meq/L;milliequivalent per liter
meq/m2;milliequivalent per square meter
meq/min;milliequivalent per minute
meq/mL;milliequivalent per milliliter
mg;milligram
mg/(10.h);milligram per 10 hour
mg/(12.h);milligram per 12 hour
mg/(18.h);milligram per 18 hour
mg/(2.h);milligram per 2 hour
mg/(24.h);milligram per 24 hour
mg/(72.h);milligram per 72 hour
mg/(8.h);milligram per 8 hour
mg/(8.h.kg);milligram / 8 * hour * kilogram
mg/(kg.h);milligram / kilogram * hour
mg/{Hgb}/g;milligram / Hgb / gram
mg/{Specimen};milligram / Specimen
mg/{Tot'Volume};milligram / Tot'Volume
mg/{Volume};milligram / Volume
mg/d;milligram per day
mg/d/(173.10*-2.m2);milligram / day / 173 * (the number ten for arbitrary powers ^ -2) * (meter ^ 2)
mg/dL;milligram per deciliter
mg/g;milligram per gram
mg/g{Cre};milligram / gram Cre
mg/g{creat};milligram per gram of creatinine
mg/h;milligram per hour
mg/kg;milligram per kilogram
mg/kg/(24.h);milligram / kilogram / 24 * hour
mg/kg/d;milligram per kilogram per day
mg/kg/min;milligram per kilogram per minute
mg/L;milligram per liter
mg/m2;milligram per square meter
mg/m3;milligram per cubic meter
mg/mg;milligram per milligram
mg/mg{cre};milligram / milligram cre
mg/min;milligram per minute
mg/mL;milligram per milliliter
mg/mmol;milligram per millimole
mg/mmol{Cre};milligram / millimole Cre
mg/mmol{creat};milligram per millimole of creatinine
mg/wk;milligram per week
mg{Phenylketones}/dL;milligram Phenylketones / deciliter
min;minute
mL;milliliter
mL/({h'b}.m2);milliliter / h'b * (meter ^ 2)
mL/(10.h);milliliter per 10 hour
mL/(12.h);milliliter per 12 hour
mL/(2.h);milliliter per 2 hour
mL/(24.h);milliliter per 24 hour
mL/(4.h);milliliter per 4 hour
mL/(72.h);milliliter per 72 hour
mL/(8.h);milliliter per 8 hour
mL/(kg.min);milliliter / kilogram * minute
mL/[sin_i];milliliter per square inch (international)
mL/{h'b};MilliLitersPerHeartbeat [SI Volume Units]
mL/cm[H2O];milliliter / centimeter of water column
mL/d;milliliter per day
mL/dL;milliliter per deciliter
mL/h;milliliter per hour
mL/kg;milliliter per kilogram
mL/kg/(8.h);milliliter per kilogram per 8 hour
mL/kg/d;milliliter per kilogram per day
mL/kg/h;milliliter per kilogram per hour
mL/kg/min;milliliter per kilogram per minute
mL/L;milliliter per liter
mL/m2;milliliter per square meter
mL/mbar;milliliter per millibar
mL/min;milliliter per minute
mL/min/(173.10*-2.m2);milliliter / minute / 173 * (the number ten for arbitrary powers ^ -2) * (meter ^ 2)
mL/min/{1.73_m2};milliliter per minute per 1.73 square meter
mL/min/m2;milliliter per minute per square meter
mL/mm;milliliter per millimeter
mL/s;milliliter per second
mm;millimeter
mm/h;millimeter per hour
mm/min;millimeter per minute
mm[H2O];millimeter of water
mm[Hg];millimeter of mercury
mm2;square millimeter
mm3;cubic millimeter
mmol;millimole
mmol/(12.h);millimole per 12 hour
mmol/(18.h);millimole per 18 hour
mmol/(2.h);millimole per 2 hour
mmol/(24.h);millimole per 24 hour
mmol/(6.h);millimole per 6 hour
mmol/(8.h);millimole per 8 hour
mmol/(8.h.kg);millimole / 8 * hour * kilogram
mmol/{Tot'Volume};millimole / Tot'Volume
mmol/d;millimole per day
mmol/dL;millimole per deciliter
mmol/g;millimole per gram
mmol/g{creat};millimole per gram of creatinine
mmol/g{hemoglobin};millimole per gram of hemoglobin
mmol/h;millimole per hour
mmol/h/mg{Hb};millimole per hour per milligram of hemoglobin
mmol/h/mg{protein};millimole per hour per milligram of protein
mmol/kg;millimole per kilogram
mmol/kg/d;millimole per kilogram per day
mmol/kg/h;millimole per kilogram per hour
mmol/kg/min;millimole per kilogram per minute
mmol/kg{H2O};millimole per kilogram of water
mmol/L;millimole per liter
mmol/L/s;millimole per liter per second
mmol/m;millimole / meter
mmol/m2;millimole per square meter
mmol/min;millimole per minute
mmol/mmol;millimole per millimole
mmol/mol;millimole per mole
mmol/mol{creat};millimole per mole of creatinine
mmol/s/L;millimole per second per liter
mo;month
mol;mole
mol/d;mole per day
mol/kg;mole per kilogram
mol/kg/s;mole per kilogram per second
mol/L;mole per liter
mol/m3;mole per cubic meter
mol/mL;mole per milliliter
mol/mol;mole per mole
mol/mol{creat};mole / mole creat
mol/s;mole per second
mosm;milliosmole
mosm/kg;milliosmole per kilogram
mosm/L;milliosmole per liter
mPa;millipascal
ms;millisecond
mU;millienzyme Unit
mU/g;millienzyme Unit per gram
mU/g{Hgb};milliUnit / gram Hgb
mU/L;millienzyme Unit per liter
mU/mg;milliUnit / milligram
mU/mg{Cre};milliUnit / milligram Cre
mU/min;milliUnit / minute
mU/mL;millienzyme Unit per milliliter
mU/mL/min;millienzyme Unit per milliliter per minute
mU/mmol{creatinine};millienzyme Unit per millimole of creatinine
mU/mmol{RBCs};millienzyme Unit per millimole of red blood cells
mV;milliVolt
N;Newton
N.cm;Newton centimeter
N.s;Newton second
nCi;nanoCurie
ng;nanogram
ng/(24.h);nanogram per 24 hour
ng/(8.h);nanogram per 8 hour
ng/(8.h.kg);nanogram / 8 * hour * kilogram
ng/(kg.d);nanogram / kilogram * day
ng/(kg.h);nanogram / kilogram * hour
ng/(kg.min);nanogram / kilogram * minute
ng/10*6;nanogram per million
ng/d;nanogram per day
ng/dL;nanogram per deciliter
ng/dL/h;nanogram / deciliter / hour
ng/g;nanogram per gram
ng/g{Cre};nanogram / gram Cre
ng/g{creat};nanogram per gram of creatinine
ng/h;nanogram per hour
ng/kg;nanogram per kilogram
ng/kg/(8.h);nanogram per kilogram per 8 hour
ng/kg/h;nanogram per kilogram per hour
ng/kg/min;nanogram per kilogram per minute
ng/L;nanogram per liter
ng/m2;nanogram per square meter
ng/mg;nanogram per milligram
ng/mg/h;nanogram per milligram per hour
ng/mg{Protein};nanogram / milligram Protein
ng/min;nanogram per minute
ng/mL;nanogram per millliiter
ng/mL/h;nanogram per milliliter per hour
ng/mL{rbc};nanogram / milliliter rbc
ng/s;nanogram per second
nkat;nanokatal
nL;nanoliter
nm;nanometer
nm/s/L;nanometer per second per liter
nmol;nanomole
nmol/(24.h);nanomole per 24 hour
nmol/d;nanomole per day
nmol/dL;nanomole per deciliter
nmol/g;nanomole per gram
nmol/g{Cre};nanomole / gram Cre
nmol/g{creat};nanomole per gram of creatinine
nmol/g{dry_wt};nanomole per gram of dry weight
nmol/h/L;nanomole per hour per liter
nmol/h/mg{protein};nanomole per hour per milligram of protein
nmol/h/mL;nanomole per hour per milliliter
nmol/L;nanomole per liter
nmol/L/mmol{creat};nanomole per liter per millimole of creatinine
nmol/L/s;nanomole per liter per second
nmol/L{RBCs};nanomole per liter of red blood cells
nmol/m/mg{protein};nanomole per meter per milligram of protein
nmol/mg;nanomole per milligram
nmol/mg/h;nanomole per milligram per hour
nmol/min/mg{hemoglobin};nanomole per minute per milligram of hemoglobin
nmol/min/mg{protein};nanomole per minute per milligram of protein
nmol/min/mL;nanomole per minute per milliliter
nmol/mL;nanomole per milliliter
nmol/mL/h;nanomole per milliliter per hour
nmol/mL/min;nanomole per milliliter per minute
nmol/mmol;nanomole per millimole
nmol/mmol{Cre};nanomole / millimole Cre
nmol/mmol{creat};nanomole per millimole of creatinine
nmol/mol;nanomole per mole
nmol/nmol;nanomole per nanomole
nmol/s;nanomole per second
nmol/s/L;nanomole per second per liter
nmol/umol{creat};nanomole per micromole of creatinine
ns;nanosecond
Ohm;Ohm
osm/kg;osmole per kilogram
osm/L;osmole per liter
Pa;Pascal
pg;picogram
pg/dL;picogram per deciliter
pg/L;picogram per liter
pg/mg;picogram per milligram
pg/mL;picogram per milliliter
pg/mm;picogram per millimeter
pkat;picokatal
pL;picoliter
pm;picometer
pmol;picomole
pmol/d;picomole per day
pmol/dL;picomole per deciliter
pmol/g;picomole per gram
pmol/h/mg{protein};picomole per hour per milligram of protein
pmol/h/mL;picomole per hour per milliliter
pmol/L;picomole per liter
pmol/mg{protein};picomole per milligram of protein
pmol/min;picomole per minute
pmol/min/mg{protein};picomole per minute per milligram of protein
pmol/mL;picomole per milliliter
pmol/mmol;picomole per millimole
pmol/mmol{creat};picomole per millimole of creatinine
pmol/mol;picomole per mole
pmol/umol;picomole per micromole
pmol/umol{creat};picomole per micromole of creatinine
ps;picosecond
pT;picotesla
s;second
St;Stokes
t;tonne
U;enzyme Unit
U/(1.h);enzyme Unit per 1 hour
U/(12.h);enzyme unit per 12 hour
U/(18.h);enzyme Unit per 18 hour
U/(2.h);enzyme unit per 2 hour
U/(24.h);enzyme unit per 24 hour
U/10*10{cells};enzyme unit per 10 billion cells
U/10*12;enzyme unit per trillion
U/10*6;enzyme unit per million
U/10*9;enzyme unit per billion
U/d;enzyme unit per day
U/dL;enzyme unit per deciliter
U/g;enzyme unit per gram
U/g{Cre};Unit / gram Cre
U/g{Hb};enzyme unit per gram of hemoglobin
U/g{hemoglobin};enzyme Unit per gram of hemoglobin
U/g{Hgb};UnitsPerGramHemoglobin
U/h;enzyme unit per hour
U/kg/h;Unit / kilogram / hour
U/kg{Hb};enzyme unit per kilogram of hemoglobin
U/kg{hemoglobin};enzyme Unit per kilogram of hemoglobin
U/L;enzyme unit per liter
U/min;enzyme unit per minute
U/mL;enzyme unit per milliliter
U/mL{RBC};Unit / milliliter RBC
U/mL{RBCs};enzyme unit per milliliter of red blood cells
U/mmol{creat};enzyme unit per millimole of creatinine
U/mol;enzyme Unit per mole
U/s;enzyme unit per second
U/umol;enzyme Unit per micromole
u[IU];micro international unit
u[IU]/L;microinternational unit per liter
u[IU]/mL;micro international unit per milliliter
ueq;microequivalents
ueq/L;microequivalent per liter
ueq/mL;microequivalent per milliliter
ug;microgram
ug/(24.h);microgram per 24 hour
ug/(8.h);microgram per 8 hour
ug/(kg.d);microgram / kilogram * day
ug/(kg.h);microgram / kilogram * hour
ug/{Specimen};microgram / Specimen
ug/{TotalVolume};MicroGramsPerTotalVolume
ug/d;microgram per day
ug/dL;microgram per deciliter
ug/dL{rbc};microgram / deciliter rbc
ug/g;microgram per gram
ug/g{Cre};microgram / gram Cre
ug/g{creat};microgram per gram of creatinine
ug/g{DryWeight};microgram / gram DryWeight
ug/g{Hgb};microgram / gram Hgb
ug/g{Tissue};microgram / gram Tissue
ug/h;microgram per hour
ug/kg;microgram per kilogram
ug/kg/(8.h);microgram per kilogram per 8 hour
ug/kg/d;microgram per kilogram per day
ug/kg/h;microgram per kilogram per hour
ug/kg/min;microgram per kilogram per minute
ug/L;microgram per liter
ug/L/(24.h);microgram per liter per 24 hour
ug/L{DDU};microgram / liter DDU
ug/m2;microgram per square meter
ug/mg;microgram per milligram
ug/mg{Cre};microgram / milligram Cre
ug/mg{creat};microgram per milligram of creatinine
ug/min;microgram per minute
ug/mL;microgram per milliliter
ug/mL{FEU};microgram / milliliter FEU
ug/mmol;microgram per millimole
ug/ng;microgram per nanogram
ug{T4}/dL;microgram T4 / deciliter
ukat;microkatal
uL;microliter
uL/(2.h);microliter per 2 hour
uL/h;microliter per hour
um;micrometer
um/s;micrometer per second
umol;micromole
umol/(24.h);micromole per 24 hour
umol/d;micromole per day
umol/dL;micromole per deciliter
umol/g;micromole per gram
umol/g{Cre};micromole / gram Cre
umol/g{creat};micromole per gram of creatinine
umol/g{Hb};micromole per gram of hemoglobin
umol/g{hemoglobin};micromole per gram of hemoglobin
umol/g{Hgb};micromole / gram Hgb
umol/h;micromole per hour
umol/h/g;micromole / hour / gram
umol/h/L;micromole per hour per liter
umol/h/mg{protein};micromole per hour per milligram of protein
umol/kg;micromole per kilogram
umol/L;micromole per liter
umol/L/h;micromole per liter per hour
umol/L{rbc};micromole per liter of red blood cells
umol/m;micromole / meter
umol/mg;micromole per milligram
umol/mg{Cre};micromole / milligram Cre
umol/min;micromole per minute
umol/min/g;micromole per minute per gram
umol/min/g{prot};micromole / minute / gram prot
umol/min/g{protein};micromole per minute per gram of protein
umol/min/L;micromole per minute per liter
umol/mL;micromole per milliliter
umol/mL/min;micromole per milliliter per minute
umol/mmol;micromole per millimole
umol/mol;micromole per mole
